AGENT,CATEGORY,ISSUE_TYPE,PAGE_URL,ELEMENT,MESSAGE,SEVERITY,RECOMMENDATION,CONFIDENCE,REQUIRES_REVIEW
altText,Detection,Empty Alt Attribute,https://future.asuonline.asu.edu/graduate/recommendations/,"<img src=""/images/graduate/hero-image-recommendations.png"">",Image has an empty alt attribute but may convey important content.,medium,"Provide a concise description of the image based on its purpose in the ""Tips on applying to graduate school"" section.",low,true
altQuality,Analysis,EMPTY MISUSE,https://future.asuonline.asu.edu/graduate/recommendations/,"<img src=""/images/graduate/hero-image-recommendations.png"" alt="""">",Alt text quality issue: empty misuse,high,"Alt text is empty but image may not be decorative. Provide a concise description of the image based on its purpose in the ""Tips on applying to graduate school"" section.",low,true
altText,Detection,Empty Alt Attribute,https://future.asuonline.asu.edu/graduate/statement/,"<img src=""/images/graduate/hero-image-statement.png"">",Image has an empty alt attribute but may convey important content.,medium,"Provide a concise description of the image based on its purpose in the ""Tips for writing a personal statement"" section.",low,true
altQuality,Analysis,EMPTY MISUSE,https://future.asuonline.asu.edu/graduate/statement/,"<img src=""/images/graduate/hero-image-statement.png"" alt="""">",Alt text quality issue: empty misuse,high,"Alt text is empty but image may not be decorative. Provide a concise description of the image based on its purpose in the ""Tips for writing a personal statement"" section.",low,true
altText,Detection,Empty Alt Attribute,https://future.asuonline.asu.edu/military/va-benefits/,"<img src=""/_nuxt/hero-image-va.YziQcnD3.jpg"">",Image has an empty alt attribute but may convey important content.,medium,"Provide a concise description of the image based on its purpose in the ""How to establish your VA benefits"" section.",low,true
altText,Detection,Placeholder Alt Text,https://future.asuonline.asu.edu/military/va-benefits/,"<img src=""/_nuxt/questions-va.BJ3PlyrN.png"" alt=""cardImage"">","Image uses a generic placeholder ""cardImage"" as alt text, which provides no value to screen reader users.",medium,"Provide a concise description of the image based on its purpose in the ""Have questions?"" section.",high,false
altQuality,Analysis,EMPTY MISUSE,https://future.asuonline.asu.edu/military/va-benefits/,"<img src=""/_nuxt/hero-image-va.YziQcnD3.jpg"" alt="""">",Alt text quality issue: empty misuse,high,"Alt text is empty but image may not be decorative. Provide a concise description of the image based on its purpose in the ""How to establish your VA benefits"" section.",low,true
altQuality,Analysis,GENERIC,https://future.asuonline.asu.edu/military/va-benefits/,"<img src=""/_nuxt/questions-va.BJ3PlyrN.png"" alt=""cardImage"">",Alt text quality issue: generic,medium,"Alt text ""cardImage"" is too generic. Provide a concise description of the image based on its purpose in the ""Have questions?"" section.",low,true
altText,Detection,Empty Alt Attribute,https://future.asuonline.asu.edu/military/tuition-assistance/,"<img src=""/_nuxt/ta-hero-image.CGANMkWr.jpg"">",Image has an empty alt attribute but may convey important content.,high,"Describe the key information shown in the image related to ""Tuition Assistance benefits and scholarship opportunities"".",medium,false
altText,Detection,Placeholder Alt Text,https://future.asuonline.asu.edu/military/tuition-assistance/,"<img src=""/_nuxt/ta-questions.CoUUlPLS.jpg"" alt=""cardImage"">","Image uses a generic placeholder ""cardImage"" as alt text, which provides no value to screen reader users.",medium,"Provide a concise description of the image based on its purpose in the ""Have questions?"" section.",high,false
